Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2012,6,Male,12,Right-Handed,154,24,150,2,Bus,60,0.31,26,Basketball,1000,973,1000,1000,500,890,24,Same length,60,70,Ring finger,November,Fall,No,No,Desserts,Water,Physical education,11.0,8.0,5,Yes - other,In person,8,,5,0,1,2,4,1,1,0,2,1,1,1,None,Some college,Rap/Hip hop,Fly,Famous,Sports person,Education/Youth development
USA,NY,2014,11,Female,17,Right-Handed,178,27,178,1,Bus,50,0.417,52,Swimming,1000,1000,750,1000,0,1000,27,Same length,88,88,Index finger,December,Spring,Yes,No,Pizza/Pasta,Water,History,7.0,12.0,4,Yes - broadband connection,In person,20,17,25,0,2,5,0,0,15,4,25,5,0,0,A lot,Undergraduate degree,Other,Fly,Happy,Actor,International aid
USA,NY,2018,11,Male,16,Right-Handed,64,25,65,2,Rail (Train/Tram/Subway),25,0.422,48,Football (American),503,0,0,786,500,1000,25,Same length,100,90,Index finger,May,Spring,Yes,No,Other,Water,History,3.0,3.0,2,Yes - broadband connection,Cell phone,200,200,8,0.5,0,0,0,0,0,6.5,1,1,0,0,None,Graduate degree,Punk rock,Telepathy,Rich,Other,Health
USA,NY,2011,12,Male,17,Right-Handed,182,26,,1,Car,3,0.391,45,Other,500,300,100,,800,800,25,Right foot,87,87,Same length,July,Summer,No,No,Desserts,Water,Mathematics and statistics,7.0,12.0,4,Yes - broadband connection,Text messaging,20,20,41660,,,,,,,,,,,,,,,,,,
USA,NY,2018,12,Female,17,Right-Handed,165,21,,2,Rail (Train/Tram/Subway),55,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2022,12,Male,18,Right-Handed,174,27,182.5,1,Car,16,0.295,32,Soccer,600,500,500,700,900,800,27,Same length,10.5,10.75,Ring finger,October,Winter,No,No,No favorite,Water,Mathematics and statistics,4.0,6.0,4,Yes - broadband connection,Text messaging,10,9,74,0,18,7,15,4,8,3,11,2,3,8,Some,Some college,Other,Telepathy,Happy,Friend,Education/Youth development
USA,NY,2014,7,Female,12,Right-Handed,164,21,160,2,Bus,30,1.009,42,Dancing,,,,,,,24,Left foot,8,7,Index finger,May,Summer,Yes,No,Desserts,Water,Mathematics and statistics,8.0,6.0,4,Yes - broadband connection,In person,10,10,60,30,30,160,100,0,2,2,10,12,5,60,Some,Graduate degree,Country,Telepathy,Healthy,Relative,International aid
USA,NY,2013,8,Male,13,Right-Handed,171,28,170,2,Bus,20,0.281,27,Football (American),1000,872,759,604,1000,1000,27,Right foot,72,80,Ring finger,February,Winter,Yes,No,Meat,Soft drink (caffeinated),Science,6.0,11.0,5,Yes - broadband connection,Other,30,30,5,0,3,7,0,54,0,1,56,0,0,8,Some,Graduate degree,Rock and roll,Telepathy,Rich,Teacher,Environment
USA,NY,2023,11,Female,16,Right-Handed,170,25.4,170,3,Walk,30,0.625,51,Dancing,1000,1000,1000,1000,1000,1000,25.4,Same length,100,77,Index finger,May,Spring,No,No,Pizza/Pasta,Water,Mathematics and statistics,7.0,5.0,7,Yes - other,Text messaging,100,200,72,0,30,10,3,0,5,10,84,0,0,6,A lot,Some college,Other,Super strength,Happy,Teacher,Other
USA,NY,2020,12,Female,17,Right-Handed,168,289,,1,Rail (Train/Tram/Subway),40,0.355,33,Athletics,791,786,487,620,492,455,,Right foot,,,Ring finger,June,Spring,No,No,No favorite,Water,Science,6.0,12.0,4,Yes - broadband connection,Text messaging,20,40,15,3,25,6,7,1,10,2,10,3,6,1,A lot,Graduate degree,Other,Freeze time,Happy,Relative,Education/Youth development
